bom_title,budget,cast,filmmakers,genres,gross_domestic,gross_international,gross_worldwide,input_title,input_year,opening_weekend,release_date,runtime_minutes,source_url
Between Two Worlds,,"[{'actor': 'Emmanuel Carrère', 'role': 'Director'}, {'actor': 'Florence Aubenas', 'role': 'Writer'}, {'actor': 'Emmanuel Carrère', 'role': 'Writer'}, {'actor': 'Hélène Devynck', 'role': 'Writer'}, {'actor': 'Emmanuel Carrère', 'role': 'Producer'}, {'actor': 'Olivier Delbosc', 'role': 'Producer'}, {'actor': 'Julien Deris', 'role': 'Producer'}, {'actor': 'David Gauquié', 'role': 'Producer'}, {'actor': 'Mathieu Lamboley', 'role': 'Composer'}, {'actor': 'Patrick Blossier', 'role': 'Cinematographer'}, {'actor': 'Albertine Lastera', 'role': 'Editor'}, {'actor': 'Sébastien Gondek', 'role': 'Production Designer'}, {'actor': 'Julia Lemaire', 'role': 'Production Designer'}, {'actor': 'Juliette Binoche', 'role': 'Marianne Winckler See more'}, {'actor': 'Louise Pociecka', 'role': 'Louise See more'}, {'actor': 'Steve Papagiannis', 'role': 'Steve See more'}, {'actor': 'Aude Ruyter', 'role': 'Lucie See more'}]","[{'name': 'Emmanuel Carrère', 'role': 'Director'}, {'name': 'Florence Aubenas', 'role': 'Writer'}, {'name': 'Emmanuel Carrère', 'role': 'Writer'}, {'name': 'Hélène Devynck', 'role': 'Writer'}, {'name': 'Emmanuel Carrère', 'role': 'Producer'}, {'name': 'Olivier Delbosc', 'role': 'Producer'}, {'name': 'Julien Deris', 'role': 'Producer'}, {'name': 'David Gauquié', 'role': 'Producer'}, {'name': 'Mathieu Lamboley', 'role': 'Composer'}, {'name': 'Patrick Blossier', 'role': 'Cinematographer'}, {'name': 'Albertine Lastera', 'role': 'Editor'}, {'name': 'Sébastien Gondek', 'role': 'Production Designer'}, {'name': 'Julia Lemaire', 'role': 'Production Designer'}, {'name': 'Juliette Binoche', 'role': 'Marianne Winckler See more'}, {'name': 'Louise Pociecka', 'role': 'Louise See more'}, {'name': 'Steve Papagiannis', 'role': 'Steve See more'}, {'name': 'Aude Ruyter', 'role': 'Lucie See more'}]",Drama,75282,3800316,3875598,Between Two Worlds,2023,7191,"January 12, 2022 (France)",106,https://www.boxofficemojo.com/title/tt10088984/
Winter Kills,6500000,"[{'actor': 'William Richert', 'role': 'Director'}, {'actor': 'Richard Condon', 'role': 'Writer'}, {'actor': 'William Richert', 'role': 'Writer'}, {'actor': 'Fred C. Caruso', 'role': 'Producer'}, {'actor': 'Maurice Jarre', 'role': 'Composer'}, {'actor': 'Vilmos Zsigmond', 'role': 'Cinematographer'}, {'actor': 'David Bretherton', 'role': 'Editor'}, {'actor': 'Robert F. Boyle', 'role': 'Production Designer'}, {'actor': 'Jeff Bridges', 'role': 'Nick Kegan See more'}, {'actor': 'John Huston', 'role': 'Pa Kegan See more'}, {'actor': 'Anthony Perkins', 'role': 'John Cerruti See more'}, {'actor': 'Eli Wallach', 'role': 'Joe Diamond See more'}]","[{'name': 'William Richert', 'role': 'Director'}, {'name': 'Richard Condon', 'role': 'Writer'}, {'name': 'William Richert', 'role': 'Writer'}, {'name': 'Fred C. Caruso', 'role': 'Producer'}, {'name': 'Maurice Jarre', 'role': 'Composer'}, {'name': 'Vilmos Zsigmond', 'role': 'Cinematographer'}, {'name': 'David Bretherton', 'role': 'Editor'}, {'name': 'Robert F. Boyle', 'role': 'Production Designer'}, {'name': 'Jeff Bridges', 'role': 'Nick Kegan See more'}, {'name': 'John Huston', 'role': 'Pa Kegan See more'}, {'name': 'Anthony Perkins', 'role': 'John Cerruti See more'}, {'name': 'Eli Wallach', 'role': 'Joe Diamond See more'}]",Comedy Drama Mystery Thriller,1161386,,1161848,Winter Kills,2023,,"May 18, 1979 (Domestic)",97,https://www.boxofficemojo.com/title/tt0080139/
Passages,,"[{'actor': 'Ira Sachs', 'role': 'Director'}, {'actor': 'Mauricio Zacharias', 'role': 'Writer'}, {'actor': 'Ira Sachs', 'role': 'Writer'}, {'actor': 'Arlette Langmann', 'role': 'Writer'}, {'actor': 'Saïd Ben Saïd', 'role': 'Producer'}, {'actor': 'Michel Merkt', 'role': 'Producer'}, {'actor': 'Josée Deshaies', 'role': 'Cinematographer'}, {'actor': 'Sophie Reine', 'role': 'Editor'}, {'actor': 'Pascale Consigny', 'role': 'Production Designer'}, {'actor': 'Franz Rogowski', 'role': 'Tomas Freiburg See more'}, {'actor': 'Ben Whishaw', 'role': 'Martin See more'}, {'actor': 'Adèle Exarchopoulos', 'role': 'Agathe See more'}, {'actor': 'Erwan Kepoa Falé', 'role': 'Amad See more'}]","[{'name': 'Ira Sachs', 'role': 'Director'}, {'name': 'Mauricio Zacharias', 'role': 'Writer'}, {'name': 'Ira Sachs', 'role': 'Writer'}, {'name': 'Arlette Langmann', 'role': 'Writer'}, {'name': 'Saïd Ben Saïd', 'role': 'Producer'}, {'name': 'Michel Merkt', 'role': 'Producer'}, {'name': 'Josée Deshaies', 'role': 'Cinematographer'}, {'name': 'Sophie Reine', 'role': 'Editor'}, {'name': 'Pascale Consigny', 'role': 'Production Designer'}, {'name': 'Franz Rogowski', 'role': 'Tomas Freiburg See more'}, {'name': 'Ben Whishaw', 'role': 'Martin See more'}, {'name': 'Adèle Exarchopoulos', 'role': 'Agathe See more'}, {'name': 'Erwan Kepoa Falé', 'role': 'Amad See more'}]",Drama Romance,551611,565199,1116810,Passages,2023,63277,"June 28, 2023 (France)",91,https://www.boxofficemojo.com/title/tt16252698/
The Pod Generation,,"[{'actor': 'Sophie Barthes', 'role': 'Director'}, {'actor': 'Sophie Barthes', 'role': 'Writer'}, {'actor': 'Nadia Khamlichi', 'role': 'Producer'}, {'actor': 'Geneviève Lemal', 'role': 'Producer'}, {'actor': 'Martin Metz', 'role': 'Producer'}, {'actor': 'Yann Zenou', 'role': 'Producer'}, {'actor': 'Evgueni Galperine', 'role': 'Composer'}, {'actor': 'Sacha Galperine', 'role': 'Composer'}, {'actor': 'Andrij Parekh', 'role': 'Cinematographer'}, {'actor': 'Olivier Bugge Coutté', 'role': 'Editor'}, {'actor': 'Ron Patane', 'role': 'Editor'}, {'actor': 'Clement Price-Thomas', 'role': 'Production Designer'}, {'actor': 'Emilia Clarke', 'role': 'Rachel Novy See more'}, {'actor': 'Chiwetel Ejiofor', 'role': 'Alvy Novy See more'}, {'actor': 'Rosalie Craig', 'role': 'Womb Center Director See more'}, {'actor': 'Vinette Robinson', 'role': 'Alice See more'}]","[{'name': 'Sophie Barthes', 'role': 'Director'}, {'name': 'Sophie Barthes', 'role': 'Writer'}, {'name': 'Nadia Khamlichi', 'role': 'Producer'}, {'name': 'Geneviève Lemal', 'role': 'Producer'}, {'name': 'Martin Metz', 'role': 'Producer'}, {'name': 'Yann Zenou', 'role': 'Producer'}, {'name': 'Evgueni Galperine', 'role': 'Composer'}, {'name': 'Sacha Galperine', 'role': 'Composer'}, {'name': 'Andrij Parekh', 'role': 'Cinematographer'}, {'name': 'Olivier Bugge Coutté', 'role': 'Editor'}, {'name': 'Ron Patane', 'role': 'Editor'}, {'name': 'Clement Price-Thomas', 'role': 'Production Designer'}, {'name': 'Emilia Clarke', 'role': 'Rachel Novy See more'}, {'name': 'Chiwetel Ejiofor', 'role': 'Alvy Novy See more'}, {'name': 'Rosalie Craig', 'role': 'Womb Center Director See more'}, {'name': 'Vinette Robinson', 'role': 'Alice See more'}]",Comedy Romance Sci-Fi,31569,26740,58309,The Pod Generation,2023,19949,"August 11, 2023 (Domestic)",110,https://www.boxofficemojo.com/title/tt15768848/
The Others,17000000,"[{'actor': 'Alejandro Amenábar', 'role': 'Director'}, {'actor': 'Alejandro Amenábar', 'role': 'Writer'}, {'actor': 'Fernando Bovaira', 'role': 'Producer'}, {'actor': 'José Luis Cuerda', 'role': 'Producer'}, {'actor': 'Sunmin Park', 'role': 'Producer'}, {'actor': 'Alejandro Amenábar', 'role': 'Composer'}, {'actor': 'Javier Aguirresarobe', 'role': 'Cinematographer'}, {'actor': 'Nacho Ruiz Capillas', 'role': 'Editor'}, {'actor': 'Benjamín Fernández', 'role': 'Production Designer'}, {'actor': 'Nicole Kidman', 'role': 'Grace See more'}, {'actor': 'Christopher Eccleston', 'role': 'Charles See more'}, {'actor': 'Fionnula Flanagan', 'role': 'Mrs. Mills See more'}, {'actor': 'Alakina Mann', 'role': 'Anne See more'}]","[{'name': 'Alejandro Amenábar', 'role': 'Director'}, {'name': 'Alejandro Amenábar', 'role': 'Writer'}, {'name': 'Fernando Bovaira', 'role': 'Producer'}, {'name': 'José Luis Cuerda', 'role': 'Producer'}, {'name': 'Sunmin Park', 'role': 'Producer'}, {'name': 'Alejandro Amenábar', 'role': 'Composer'}, {'name': 'Javier Aguirresarobe', 'role': 'Cinematographer'}, {'name': 'Nacho Ruiz Capillas', 'role': 'Editor'}, {'name': 'Benjamín Fernández', 'role': 'Production Designer'}, {'name': 'Nicole Kidman', 'role': 'Grace See more'}, {'name': 'Christopher Eccleston', 'role': 'Charles See more'}, {'name': 'Fionnula Flanagan', 'role': 'Mrs. Mills See more'}, {'name': 'Alakina Mann', 'role': 'Anne See more'}]",Horror Mystery Thriller,96578502,113424350,210002906,The Others,2023,14089952,"August 10, 2001 (Domestic)",101,https://www.boxofficemojo.com/title/tt0230600/
Jules,,"[{'actor': 'Marc Turtletaub', 'role': 'Director'}, {'actor': 'Gavin Steckler', 'role': 'Writer'}, {'actor': 'Michael B. Clark', 'role': 'Producer'}, {'actor': 'Andy Daly', 'role': 'Producer'}, {'actor': 'Deborah Liebling', 'role': 'Producer'}, {'actor': 'Alex Turtletaub', 'role': 'Producer'}, {'actor': 'Marc Turtletaub', 'role': 'Producer'}, {'actor': 'Volker Bertelmann', 'role': 'Composer'}, {'actor': 'Christopher Norr', 'role': 'Cinematographer'}, {'actor': 'Ayelet Gil Efrat', 'role': 'Editor'}, {'actor': 'Ben Kingsley', 'role': 'Milton See more'}, {'actor': 'Harriet Sansom Harris', 'role': 'Sandy See more'}, {'actor': 'Jane Curtin', 'role': 'Joyce See more'}, {'actor': 'Teddy Cañez', 'role': 'Mayor Martinez See more'}]","[{'name': 'Marc Turtletaub', 'role': 'Director'}, {'name': 'Gavin Steckler', 'role': 'Writer'}, {'name': 'Michael B. Clark', 'role': 'Producer'}, {'name': 'Andy Daly', 'role': 'Producer'}, {'name': 'Deborah Liebling', 'role': 'Producer'}, {'name': 'Alex Turtletaub', 'role': 'Producer'}, {'name': 'Marc Turtletaub', 'role': 'Producer'}, {'name': 'Volker Bertelmann', 'role': 'Composer'}, {'name': 'Christopher Norr', 'role': 'Cinematographer'}, {'name': 'Ayelet Gil Efrat', 'role': 'Editor'}, {'name': 'Ben Kingsley', 'role': 'Milton See more'}, {'name': 'Harriet Sansom Harris', 'role': 'Sandy See more'}, {'name': 'Jane Curtin', 'role': 'Joyce See more'}, {'name': 'Teddy Cañez', 'role': 'Mayor Martinez See more'}]",Comedy Drama Sci-Fi,1924922,391272,2316194,Jules,2023,839622,"August 11, 2023 (Domestic)",87,https://www.boxofficemojo.com/title/tt15428940/
Operation Napoleon,,"[{'actor': 'Óskar Thór Axelsson', 'role': 'Director'}, {'actor': 'Marteinn Thorisson', 'role': 'Writer'}, {'actor': 'Arnaldur Indriðason', 'role': 'Writer'}, {'actor': 'Anita Elsani', 'role': 'Producer'}, {'actor': 'Tinna Proppé', 'role': 'Producer'}, {'actor': 'Dirk Schweitzer', 'role': 'Producer'}, {'actor': 'Hilmar Sigurðsson', 'role': 'Producer'}, {'actor': 'Frank Hall', 'role': 'Composer'}, {'actor': 'Árni Filippusson', 'role': 'Cinematographer'}, {'actor': 'Gunnar B. Guðbjörnsson', 'role': 'Editor'}, {'actor': 'Kristján Loðmfjörð', 'role': 'Editor'}, {'actor': 'Heimir Sverrisson', 'role': 'Production Designer'}, {'actor': 'Vivian Ólafsdóttir', 'role': 'Kristín Jóhannesdóttir See more'}, {'actor': 'Jack Fox', 'role': 'Prof. Steve Rush See more'}, {'actor': 'Iain Glen', 'role': 'William Carr See more'}, {'actor': 'Wotan Wilke Möhring', 'role': 'Simon See more'}]","[{'name': 'Óskar Thór Axelsson', 'role': 'Director'}, {'name': 'Marteinn Thorisson', 'role': 'Writer'}, {'name': 'Arnaldur Indriðason', 'role': 'Writer'}, {'name': 'Anita Elsani', 'role': 'Producer'}, {'name': 'Tinna Proppé', 'role': 'Producer'}, {'name': 'Dirk Schweitzer', 'role': 'Producer'}, {'name': 'Hilmar Sigurðsson', 'role': 'Producer'}, {'name': 'Frank Hall', 'role': 'Composer'}, {'name': 'Árni Filippusson', 'role': 'Cinematographer'}, {'name': 'Gunnar B. Guðbjörnsson', 'role': 'Editor'}, {'name': 'Kristján Loðmfjörð', 'role': 'Editor'}, {'name': 'Heimir Sverrisson', 'role': 'Production Designer'}, {'name': 'Vivian Ólafsdóttir', 'role': 'Kristín Jóhannesdóttir See more'}, {'name': 'Jack Fox', 'role': 'Prof. Steve Rush See more'}, {'name': 'Iain Glen', 'role': 'William Carr See more'}, {'name': 'Wotan Wilke Möhring', 'role': 'Simon See more'}]",Action Adventure Thriller,1618,475055,476673,Operation Napoleon,2023,909,"February 3, 2023 (Iceland)",102,https://www.boxofficemojo.com/title/tt15485390/
Aporia,,"[{'actor': 'Jared Moshe', 'role': 'Director'}, {'actor': 'Jared Moshe', 'role': 'Writer'}, {'actor': 'Neda Armian', 'role': 'Producer'}, {'actor': 'T. Justin Ross', 'role': 'Producer'}, {'actor': 'H. Scott Salinas', 'role': 'Composer'}, {'actor': 'Nicholas Bupp', 'role': 'Cinematographer'}, {'actor': 'Marshall Granger', 'role': 'Editor'}, {'actor': 'Kati Simon', 'role': 'Production Designer'}, {'actor': 'Ariel Vida', 'role': 'Production Designer'}, {'actor': 'Judy Greer', 'role': 'Sophie Rice See more'}, {'actor': 'Edi Gathegi', 'role': 'Malcolm Rice See more'}, {'actor': 'Payman Maadi', 'role': 'Jabir Karim See more'}, {'actor': 'Faithe Herman', 'role': 'Riley Rice See more'}]","[{'name': 'Jared Moshe', 'role': 'Director'}, {'name': 'Jared Moshe', 'role': 'Writer'}, {'name': 'Neda Armian', 'role': 'Producer'}, {'name': 'T. Justin Ross', 'role': 'Producer'}, {'name': 'H. Scott Salinas', 'role': 'Composer'}, {'name': 'Nicholas Bupp', 'role': 'Cinematographer'}, {'name': 'Marshall Granger', 'role': 'Editor'}, {'name': 'Kati Simon', 'role': 'Production Designer'}, {'name': 'Ariel Vida', 'role': 'Production Designer'}, {'name': 'Judy Greer', 'role': 'Sophie Rice See more'}, {'name': 'Edi Gathegi', 'role': 'Malcolm Rice See more'}, {'name': 'Payman Maadi', 'role': 'Jabir Karim See more'}, {'name': 'Faithe Herman', 'role': 'Riley Rice See more'}]",Drama Sci-Fi,21587,,21587,Aporia,2023,14064,"August 11, 2023 (Domestic)",104,https://www.boxofficemojo.com/title/tt8511466/
White God,,"[{'actor': 'Kornél Mundruczó', 'role': 'Director'}, {'actor': 'Kornél Mundruczó', 'role': 'Writer'}, {'actor': 'Viktória Petrányi', 'role': 'Writer'}, {'actor': 'Kata Wéber', 'role': 'Writer'}, {'actor': 'Viktória Petrányi', 'role': 'Producer'}, {'actor': 'Asher Goldschmidt', 'role': 'Composer'}, {'actor': 'Marcell Rév', 'role': 'Cinematographer'}, {'actor': 'Dávid Jancsó', 'role': 'Editor'}, {'actor': 'Lucrezia Casta', 'role': 'Production Designer'}, {'actor': 'Márton Ágh', 'role': 'Production Designer'}, {'actor': 'Zsófia Psotta', 'role': 'Lili See more'}, {'actor': 'Sándor Zsótér', 'role': 'Dániel See more'}, {'actor': 'Lili Horvát', 'role': 'Anya See more'}, {'actor': 'Szabolcs Thuróczy', 'role': 'öreg See more'}]","[{'name': 'Kornél Mundruczó', 'role': 'Director'}, {'name': 'Kornél Mundruczó', 'role': 'Writer'}, {'name': 'Viktória Petrányi', 'role': 'Writer'}, {'name': 'Kata Wéber', 'role': 'Writer'}, {'name': 'Viktória Petrányi', 'role': 'Producer'}, {'name': 'Asher Goldschmidt', 'role': 'Composer'}, {'name': 'Marcell Rév', 'role': 'Cinematographer'}, {'name': 'Dávid Jancsó', 'role': 'Editor'}, {'name': 'Lucrezia Casta', 'role': 'Production Designer'}, {'name': 'Márton Ágh', 'role': 'Production Designer'}, {'name': 'Zsófia Psotta', 'role': 'Lili See more'}, {'name': 'Sándor Zsótér', 'role': 'Dániel See more'}, {'name': 'Lili Horvát', 'role': 'Anya See more'}, {'name': 'Szabolcs Thuróczy', 'role': 'öreg See more'}]",Adventure Drama Thriller,282358,333919,616277,Underdog,2023,16139,"June 12, 2014 (Hungary)",121,https://www.boxofficemojo.com/title/tt2844798/
The Last Voyage of the Demeter,,"[{'actor': 'André Øvredal', 'role': 'Director'}, {'actor': 'Bram Stoker', 'role': 'Writer'}, {'actor': 'Bragi F. Schut', 'role': 'Writer'}, {'actor': 'Zak Olkewicz', 'role': 'Writer'}, {'actor': 'Bradley J. Fischer', 'role': 'Producer'}, {'actor': 'Mike Medavoy', 'role': 'Producer'}, {'actor': 'Arnold Messer', 'role': 'Producer'}, {'actor': 'Bear McCreary', 'role': 'Composer'}, {'actor': 'Tom Stern', 'role': 'Cinematographer'}, {'actor': 'Julian Clarke', 'role': 'Editor'}, {'actor': 'Patrick Larsgaard', 'role': 'Editor'}, {'actor': 'Christian Wagner', 'role': 'Editor'}, {'actor': 'Edward Thomas', 'role': 'Production Designer'}, {'actor': 'Corey Hawkins', 'role': 'Clemens See more'}, {'actor': 'Aisling Franciosi', 'role': 'Anna See more'}, {'actor': 'Liam Cunningham', 'role': 'Captain Eliot See more'}, {'actor': 'David Dastmalchian', 'role': 'Wojchek See more'}]","[{'name': 'André Øvredal', 'role': 'Director'}, {'name': 'Bram Stoker', 'role': 'Writer'}, {'name': 'Bragi F. Schut', 'role': 'Writer'}, {'name': 'Zak Olkewicz', 'role': 'Writer'}, {'name': 'Bradley J. Fischer', 'role': 'Producer'}, {'name': 'Mike Medavoy', 'role': 'Producer'}, {'name': 'Arnold Messer', 'role': 'Producer'}, {'name': 'Bear McCreary', 'role': 'Composer'}, {'name': 'Tom Stern', 'role': 'Cinematographer'}, {'name': 'Julian Clarke', 'role': 'Editor'}, {'name': 'Patrick Larsgaard', 'role': 'Editor'}, {'name': 'Christian Wagner', 'role': 'Editor'}, {'name': 'Edward Thomas', 'role': 'Production Designer'}, {'name': 'Corey Hawkins', 'role': 'Clemens See more'}, {'name': 'Aisling Franciosi', 'role': 'Anna See more'}, {'name': 'Liam Cunningham', 'role': 'Captain Eliot See more'}, {'name': 'David Dastmalchian', 'role': 'Wojchek See more'}]",Fantasy Horror Thriller,13637180,8149095,21786275,The Last Voyage of the Demeter,2023,6504950,"August 10, 2023 (EMEA, APAC)",118,https://www.boxofficemojo.com/title/tt1001520/
Day by Day,,"[{'actor': 'Domestic', 'role': 'Aug 11, 2023'}]","[{'name': 'Domestic', 'role': 'Aug 11, 2023'}]",Documentary,96227,,96227,Day by Day,2023,31141,"August 11, 2023 (Domestic)",112,https://www.boxofficemojo.com/title/tt28649695/
Bobcat Moretti,,"[{'actor': 'Rob Margolies', 'role': 'Director'}, {'actor': 'Rob Margolies', 'role': 'Writer'}, {'actor': 'Tim Realbuto', 'role': 'Writer'}, {'actor': 'Rob Margolies', 'role': 'Producer'}, {'actor': 'Ilan Rubin', 'role': 'Composer'}, {'actor': 'Andressa Cordeiro', 'role': 'Cinematographer'}, {'actor': 'Taylor Brusky', 'role': 'Editor'}, {'actor': 'Morgan Slauson', 'role': 'Production Designer'}, {'actor': 'Tim Realbuto', 'role': ""Bobby 'Bobcat' Moretti See more""}, {'actor': 'Vivica A. Fox', 'role': ""Joanne 'Jo' Wallis See more""}, {'actor': 'Taryn Manning', 'role': 'Debra Moretti See more'}, {'actor': 'Coolio', 'role': 'Coolio See more'}]","[{'name': 'Rob Margolies', 'role': 'Director'}, {'name': 'Rob Margolies', 'role': 'Writer'}, {'name': 'Tim Realbuto', 'role': 'Writer'}, {'name': 'Rob Margolies', 'role': 'Producer'}, {'name': 'Ilan Rubin', 'role': 'Composer'}, {'name': 'Andressa Cordeiro', 'role': 'Cinematographer'}, {'name': 'Taylor Brusky', 'role': 'Editor'}, {'name': 'Morgan Slauson', 'role': 'Production Designer'}, {'name': 'Tim Realbuto', 'role': ""Bobby 'Bobcat' Moretti See more""}, {'name': 'Vivica A. Fox', 'role': ""Joanne 'Jo' Wallis See more""}, {'name': 'Taryn Manning', 'role': 'Debra Moretti See more'}, {'name': 'Coolio', 'role': 'Coolio See more'}]",Drama,,,,Bobcat Moretti,2023,,"August 4, 2023 (Domestic)",96,https://www.boxofficemojo.com/title/tt10846008/
Til Death Do Us Part,,"[{'actor': 'Timothy Woodward Jr.', 'role': 'Director'}, {'actor': 'Chad Law', 'role': 'Writer'}, {'actor': 'Shane Dax Taylor', 'role': 'Writer'}, {'actor': 'Natalie Burn', 'role': 'Producer'}, {'actor': 'Jeffrey Reddick', 'role': 'Producer'}, {'actor': 'Timothy Woodward Jr.', 'role': 'Producer'}, {'actor': 'Matthew Patrick Donner', 'role': 'Composer'}, {'actor': 'Pablo Diez', 'role': 'Cinematographer'}, {'actor': 'Eloi Molí', 'role': 'Cinematographer'}, {'actor': 'Fady Jeanbart', 'role': 'Editor'}, {'actor': 'Markos Keyto', 'role': 'Production Designer'}, {'actor': 'Cam Gigandet', 'role': 'Bestman See more'}, {'actor': 'Natalie Burn', 'role': 'Bride See more'}, {'actor': 'Jason Patric', 'role': 'Husband See more'}, {'actor': ""Ser'Darius Blain"", 'role': 'Groom See more'}]","[{'name': 'Timothy Woodward Jr.', 'role': 'Director'}, {'name': 'Chad Law', 'role': 'Writer'}, {'name': 'Shane Dax Taylor', 'role': 'Writer'}, {'name': 'Natalie Burn', 'role': 'Producer'}, {'name': 'Jeffrey Reddick', 'role': 'Producer'}, {'name': 'Timothy Woodward Jr.', 'role': 'Producer'}, {'name': 'Matthew Patrick Donner', 'role': 'Composer'}, {'name': 'Pablo Diez', 'role': 'Cinematographer'}, {'name': 'Eloi Molí', 'role': 'Cinematographer'}, {'name': 'Fady Jeanbart', 'role': 'Editor'}, {'name': 'Markos Keyto', 'role': 'Production Designer'}, {'name': 'Cam Gigandet', 'role': 'Bestman See more'}, {'name': 'Natalie Burn', 'role': 'Bride See more'}, {'name': 'Jason Patric', 'role': 'Husband See more'}, {'name': ""Ser'Darius Blain"", 'role': 'Groom See more'}]",Action Comedy Horror Thriller,,113607,113607,Til Death Do Us Part,2023,,"August 3, 2023 (APAC, EMEA)",111,https://www.boxofficemojo.com/title/tt27047448/
"DCI 2023: Big, Loud & Live",,,,,,,,"DCI 2023: Big, Loud & Live",2023,,"August 10, 2023 (Domestic)",315,https://www.boxofficemojo.com/title/tt27799771/
Summer Brother,,"[{'actor': 'Joren Molter', 'role': 'Director'}, {'actor': 'Britt Snel', 'role': 'Writer'}, {'actor': 'Floor Onrust', 'role': 'Producer'}, {'actor': 'Rutger Reinders', 'role': 'Composer'}, {'actor': 'Sam du Pon', 'role': 'Cinematographer'}, {'actor': 'Dorith Vinken', 'role': 'Editor'}, {'actor': 'Florian Legters', 'role': 'Production Designer'}, {'actor': 'Jarne Heylen', 'role': 'Brian See more'}, {'actor': ""Joël in 't Veld"", 'role': 'Lucien See more'}, {'actor': 'Micha Hulshof', 'role': 'Maurice See more'}, {'actor': 'Valentijn Dhaenens', 'role': 'Emiel See more'}]","[{'name': 'Joren Molter', 'role': 'Director'}, {'name': 'Britt Snel', 'role': 'Writer'}, {'name': 'Floor Onrust', 'role': 'Producer'}, {'name': 'Rutger Reinders', 'role': 'Composer'}, {'name': 'Sam du Pon', 'role': 'Cinematographer'}, {'name': 'Dorith Vinken', 'role': 'Editor'}, {'name': 'Florian Legters', 'role': 'Production Designer'}, {'name': 'Jarne Heylen', 'role': 'Brian See more'}, {'name': ""Joël in 't Veld"", 'role': 'Lucien See more'}, {'name': 'Micha Hulshof', 'role': 'Maurice See more'}, {'name': 'Valentijn Dhaenens', 'role': 'Emiel See more'}]",Drama,,47782,47782,Brother,2023,,"October 19, 2023 (Netherlands)",100,https://www.boxofficemojo.com/title/tt22197856/
The Highest of Stakes,,"[{'actor': 'Patrick Moreau', 'role': 'Director'}, {'actor': 'Grant Peelle', 'role': 'Director'}, {'actor': 'Caitlin Miranda', 'role': 'Producer'}, {'actor': 'TobiWan Hexobi', 'role': 'Producer'}, {'actor': 'Hannah Parrott', 'role': 'Composer'}, {'actor': 'Patrick Moreau', 'role': 'Cinematographer'}, {'actor': 'Morvarid Reyes Talebzadeh', 'role': 'Cinematographer'}, {'actor': 'Braden Dragomir', 'role': 'Editor'}, {'actor': 'Ty Humphrey', 'role': 'Editor'}, {'actor': 'Taylor Leeder', 'role': 'Editor'}, {'actor': 'Patrick Moreau', 'role': 'Editor'}]","[{'name': 'Patrick Moreau', 'role': 'Director'}, {'name': 'Grant Peelle', 'role': 'Director'}, {'name': 'Caitlin Miranda', 'role': 'Producer'}, {'name': 'TobiWan Hexobi', 'role': 'Producer'}, {'name': 'Hannah Parrott', 'role': 'Composer'}, {'name': 'Patrick Moreau', 'role': 'Cinematographer'}, {'name': 'Morvarid Reyes Talebzadeh', 'role': 'Cinematographer'}, {'name': 'Braden Dragomir', 'role': 'Editor'}, {'name': 'Ty Humphrey', 'role': 'Editor'}, {'name': 'Taylor Leeder', 'role': 'Editor'}, {'name': 'Patrick Moreau', 'role': 'Editor'}]",Documentary,161313,97169,258482,The Highest of Stakes,2023,85267,"August 4, 2023 (Domestic)",93,https://www.boxofficemojo.com/title/tt28077332/
Met Summer Encore: Il Barbiere di Siviglia,,,,,,27927,27927,Met Summer Encore: Il Barbiere di Siviglia,2023,,"August 9, 2023 (Domestic)",173,https://www.boxofficemojo.com/title/tt27615383/
Tokyo Pop,,"[{'actor': 'Fran Rubel Kuzui', 'role': 'Director'}, {'actor': 'Lynn Grossman', 'role': 'Writer'}, {'actor': 'Fran Rubel Kuzui', 'role': 'Writer'}, {'actor': 'Kaz Kuzui', 'role': 'Producer'}, {'actor': 'Alan Brewer', 'role': 'Composer'}, {'actor': 'James Hayman', 'role': 'Cinematographer'}, {'actor': 'Camilla Toniolo', 'role': 'Editor'}, {'actor': 'Terumi Hosoishi', 'role': 'Production Designer'}, {'actor': 'Carrie Hamilton', 'role': 'Wendy Reed See more'}, {'actor': 'Diamond Yukai', 'role': 'Hiro Yamaguchi See more'}, {'actor': 'Taiji Tonoyama', 'role': 'Grandfather See more'}, {'actor': 'Tetsurô Tanba', 'role': 'Mr. Dota See more'}]","[{'name': 'Fran Rubel Kuzui', 'role': 'Director'}, {'name': 'Lynn Grossman', 'role': 'Writer'}, {'name': 'Fran Rubel Kuzui', 'role': 'Writer'}, {'name': 'Kaz Kuzui', 'role': 'Producer'}, {'name': 'Alan Brewer', 'role': 'Composer'}, {'name': 'James Hayman', 'role': 'Cinematographer'}, {'name': 'Camilla Toniolo', 'role': 'Editor'}, {'name': 'Terumi Hosoishi', 'role': 'Production Designer'}, {'name': 'Carrie Hamilton', 'role': 'Wendy Reed See more'}, {'name': 'Diamond Yukai', 'role': 'Hiro Yamaguchi See more'}, {'name': 'Taiji Tonoyama', 'role': 'Grandfather See more'}, {'name': 'Tetsurô Tanba', 'role': 'Mr. Dota See more'}]",Comedy Drama Music Romance,37834,,39471,Tokyo Pop,2023,3333,"August 4, 2023 (Domestic)",99,https://www.boxofficemojo.com/title/tt0096281/
